Nama User;Ulasan;Rating;Tanggal;Likes;Versi App;;;
Pengguna Google;jika membantu dan bisa di percaya full star;4;31/12/2025 17.22;0;0,159050926;;;
Pengguna Google;sangat bermanfaat;5;31/12/2025 17.19;0;0,139583333;;;
Pengguna Google;baik baik;1;31/12/2025 17.19;0;0,158344907;;;
Pengguna Google;mantap;5;31/12/2025 17.19;0;0,159050926;;;
Pengguna Google;bagus;3;31/12/2025 17.18;0;0,159050926;;;
Pengguna Google;syang dana cicil udh lunas sebelum jatuh tempo juga knapa g bsa langsung d pke lg;5;31/12/2025 17.17;0;0,159050926;;;
Pengguna Google;cara mudah byar dan transfer mantap mantap;5;31/12/2025 17.15;0;;;;
Pengguna Google;Dana instan kenapa tidak bisa di tarik, padahal pembayaran lancar;5;31/12/2025 17.13;0;0,159050926;;;
Pengguna Google;kenapa gak bisa dana cicil saya;5;31/12/2025 17.12;0;0,159050926;;;
Pengguna Google;mantaf betul;4;31/12/2025 17.12;0;;;;
Pengguna Google;mantap;5;31/12/2025 17.11;0;0,159050926;;;
Pengguna Google;baik;5;31/12/2025 17.11;0;0,159050926;;;
Pengguna Google;sangat bagus;5;31/12/2025 17.11;0;0,159050926;;;
Pengguna Google;aplikasi ini sangat membantu saya penggunaaannya begitu mudah terimakasih dana;5;31/12/2025 17.11;0;;;;
Pengguna Google;sangat cocok untuk saya;5;31/12/2025 17.10;0;02.59.02;;;
Pengguna Google;bagus banget;5;31/12/2025 17.09;0;0,159050926;;;
Pengguna Google;sangat baik;5;31/12/2025 17.08;0;0,159050926;;;
Pengguna Google;dana cicil;5;31/12/2025 17.08;0;0,159050926;;;
Pengguna Google;ok;5;31/12/2025 17.07;0;0,159050926;;;
Pengguna Google;baik;5;31/12/2025 17.07;0;0,131261574;;;
Pengguna Google;semoga dana cicil saya bisa di pakek lagi;5;31/12/2025 17.05;0;0,159050926;;;
Pengguna Google;Kenapa dana instan saya tidak bisa di tarik padahal limit masih ada cukup,. tpi penarikan gagal mulu.. tolong dong perbaiki,.;5;31/12/2025 17.05;0;0,159050926;;;
Pengguna Google;bagus layanan nya;5;31/12/2025 17.04;0;;;;
Pengguna Google;lebih mudah bayar ini itu;3;31/12/2025 17.00;0;0,159050926;;;
